Unnamed: 0,Structure,σ(RT)(S cm-1),Ea (eV),space group,ICSD Entry,DOI
780,Li10(Ge0.2Sn0.8)P2S12,4.77E-03,0.269,,,10.1016/j.jpowsour.2014.07.159
781,0.5(Li2O) * 0.5(P2O5),1.10E-09,0.71,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
782,0.58(Li2O) * 0.5(P2O5),2.00E-08,0.6,,,10.1016/0167-2738(85)90064-5
783,0.6(Li2O) * 0.5(P2O5),3.00E-08,0.61,,,10.1016/0167-2738(85)90064-5
784,0.63(Li2O) * 0.5(P2O5),1.30E-07,0.56,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
785,0.66(Li2O) * 0.5(P2O5),2.30E-07,0.55,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
786,0.7(Li2O) * 0.5(P2O5),3.00E-07,0.57,,,
787,0.2(Li2S) 0.8(GeS2),1.10E-07,0.52,,,10.1016/0167-2738(85)90064-5
788,0.3(Li2S) 0.7(GeS2),9.30E-07,0.48,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
789,0.4(Li2S) 0.6(GeS2),2.90E-06,0.42,,,
790,0.5(Li2S) 0.5(GeS2),3.30E-05,0.35,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
791,0.6(Li2S) 0.4(GeS2),9.20E-05,0.32,,,10.1016/0167-2738(85)90064-5
792,0.63(Li2S) 0.37(GeS2),1.50E-04,0.34,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
793,0.66(Li2S) 0.34(GeS2),1.00E-04,0.37,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
794,0.7(Li2S) 0.3(GeS2),1.20E-04,0.34,,,10.1016/0167-2738(85)90064-5
795,Li2O-P2O5,1.10E-09,0.71,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
796,0.58Li2O-0.42P2O5,2.00E-08,0.6,,,10.1016/0167-2738(85)90064-5
797,0.6Li2O-0.4P2O5,3.00E-08,0.61,,,10.1016/0167-2738(85)90064-5
798,0.63Li2O-0.37P2O5,1.30E-07,0.56,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
799,0.66Li2O-0.34P2O5,2.30E-07,0.55,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
800,0.7Li2O-0.3P2O5,3.00E-07,0.57,,,
801,0.2Li2S-0.8GeS2,1.10E-07,0.52,,,10.1016/0167-2738(85)90064-5
802,0.3Li2S-0.7GeS2,9.30E-07,0.48,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
803,0.4Li2S-0.6GeS2,2.90E-06,0.42,,,
804,0.5Li2S-0.5GeS2,3.30E-05,0.35,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
805,0.6Li2S-0.4GeS2,9.20E-05,0.32,,,10.1016/0167-2738(85)90064-5
806,0.63Li2S-0.37GeS2,1.50E-04,0.34,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
807,0.66Li2S-0.34GeS2,1.00E-04,0.37,,,10.1016/0167-2738(85)90064-5; 10.1016/0167-2738(85)90064-5
808,0.7Li2S-0.3GeS2,1.20E-04,0.34,,,10.1016/0167-2738(85)90064-5
809,Li6.55La3Zr2Ga0.15O12,1.30E-03,0.3,,,10.1021/cm5008069
810,Li6.40La3Zr2Ga0.2O12,9.00E-04,0.3,,,
811,Li6.10La3Zr2Ga0.25O12,7.00E-05,0.3,,,
812,Li6.8La3Zr1.8Sb0.2O12,5.90E-05,0.39,,,
813,Li6.6La3Zr1.6Sb0.4O12,7.70E-04,0.34,,,10.1039/c3cp50991e
814,Li6.4La3Zr1.4Sb0.6O12,6.60E-04,0.36,,,10.1039/c3cp50991e; 10.1039/c3cp50991e
815,Li6.2La3Zr1.2Sb0.8O12,4.50E-04,0.37,,,10.1039/c3cp50991e; 10.1039/c3cp50991e
816,Li6La3ZrSbO12,2.60E-04,0.38,,,10.1039/c3cp50991e; 10.1039/c3cp50991e
817,Li(In0.62Li1.38)Br3.92,4.90E-06,0.58,,,
818,Li3InBr6,1.77E-04,,,,10.1016/j.ssi.2008.02.012
819,Li3InBr4Cl2,7.58E-06,,,,10.1016/j.ssi.2008.02.012
820,Li3InBr3Cl3,1.14E-04,,,,
821,Li3InBr2.5Cl3.5,3.60E-06,,,,10.1016/j.ssi.2008.02.012
822,Li3InBr2Cl4,6.89E-08,,,,10.1016/j.ssi.2008.02.012
823,Li1.8Mg1.1Cl4,1.52E-06,,,,10.1002/chin.198428014
824,Li1.6Mg1.2Cl4,3.07E-06,,,,
825,Li1.34Mg1.33Cl4,3.07E-06,,,,10.1002/chin.198428014
826,Li1.9Mn1.05Cl4,4.61E-06,,,,10.1002/chin.198428014
827,Li1.72Mn1.14Cl4,3.62E-06,,,,10.1002/chin.198428014
828,Li1.6Mn1.2Cl4,1.45E-05,,,,10.1002/chin.198428014
829,Li1.52Mn1.24Cl4,1.85E-05,,,,
830,Li1.34Mn1.33Cl4,9.57E-06,,,,10.1002/chin.198428014
831,Li1.94Cl1.03Cl4,2.56E-06,,,,10.1002/chin.198428014
832,Li1.90Cd1.05Cl4,3.50E-06,,,,10.1002/chin.198428014
833,Li2OHBrF,7.10E-07,,,,10.1039/c9cc08382k
834,Li2OHBr0.99F0.01,9.16E-07,,,,10.1039/c9cc08382k
835,Li2OHBr0.98F0.02,1.11E-06,,,,10.1039/c9cc08382k
836,Li2OHBr0.95F0.05,6.75E-07,,,,10.1039/c9cc08382k
837,Li2OHBr0.9F0.1,6.80E-07,,,,10.1039/c9cc08382k
838,Li2OHBr0.8F0.2,5.44E-07,,,,
839,Li3(OH)2Cl,2.72E-08,0.88,,,10.1021/jacs.5b11851
840,Li5(OH)3Cl2,2.52E-08,0.75,,,10.1021/jacs.5b11851
841,Li2OHCl,4.28E-08,0.56,,,10.1021/jacs.5b11851
842,Li5(OH)2Cl3,1.48E-07,0.49,,,10.1021/jacs.5b11851
843,Li3OHCl2,8.92E-08,0.67,,,10.1021/jacs.5b11851
844,Li3.7Zn0.15GeO4,4.63E-07,,,,10.1016/0022-4596(82)90383-8
845,Li3.5Zn0.25GeO4,2.42E-07,,,,10.1016/0022-4596(82)90383-8
846,Li3.1Zn0.45GeO4,9.89E-08,,,,10.1016/0022-4596(82)90383-8
847,Li2.8Zn0.6GeO4,1.27E-07,,,,10.1016/0022-4596(82)90383-8
848,Li2.6Zn0.7GeO4,5.79E-08,,,,10.1016/0022-4596(82)90383-8
849,Li2.3Zn0.85GeO4,4.23E-09,,,,10.1016/0022-4596(82)90383-8
850,Li7La2.75Ca0.25Zr1.75Nb0.25O12,2.20E-04,0.35,,,10.1038/nmat4821
851,Li1.5Cr0.5Ti1.5(PO4)3,1.98E-04,0.29,,,10.1039/c8cc00734a
852,Li3V2(PO4)3,2.09E-07,,,,10.1039/c8cc00734a
853,Li3V1.8Al0.2(PO4)3,1.88E-06,,,,10.1039/c8cc00734a
854,Li3V1.6Al0.4(PO4)3,6.21E-06,,,,
855,Li3V1.4Al0.6(PO4)3,9.34E-07,,,,10.1039/c8cc00734a
856,Li7P2.9Mn0.1S10.7I0.3,5.60E-03,0.22,,,10.1016/j.rser.2019.04.035; 10.1039/c7ta01147d
857,0.3 Li2S * 0.7 SiS2,1.60E-06,0.46,,,10.1016/0167-2738(86)90139-6
858,0.4 Li2S * 0.6 SiS2,2.80E-05,0.38,,,10.1016/0167-2738(86)90139-6
859,0.5 Li2S * 0.5 SiS2,1.00E-04,0.32,,,
860,0.6 Li2S * 0.4 SiS2,5.00E-04,0.25,,,
861,(2Li2S-P2S5),1.12E-04,,,,10.1016/0167-2738(81)90341-6
862,(2Li2S-P2S5)0.85(LiI)0.15,2.35E-04,,,,10.1016/0167-2738(81)90341-6
863,(2Li2S-P2S5)0.75(LiI)0.25,3.96E-04,,,,10.1016/0167-2738(81)90341-6
864,(2Li2S-P2S5)0.60(LiI)0.40,7.60E-04,,,,10.1016/0167-2738(81)90341-6
865,(2Li2S-P2S5)0.55(LiI)0.45,1.12E-03,,,,
866,0.14 SiS2-0.09 P2S5-0.47 Li2S-0.30 LiI,1.32E-03,0.34,,,10.1016/0254-0584(89)90015-1
867,0.26B2S3 – 0.3Li2S – 0.44LiI,1.57E-03,0.3,,,
868,0.26B2S3 – 0.31Li2S – 0.43LiI,7.99E-04,0.33,,,
869,0.27B2S3 – 0.32Li2S – 0.41LiI,4.25E-04,0.35,,,
870,0.5 SiS2-0.5 Li2S,1.50E-04,0.34,,,10.1149/1.2114001
871,0.1 LiBr-0.45 SiS2-0.45 Li2S,1.90E-04,0.3,,,
872,0.2 LiBr-0.4 SiS2-0.4 Li2S,2.10E-04,0.33,,,
873,0.25 LiBr-0.38 SiS2-0.38 Li2S,2.40E-04,0.31,,,10.1149/1.2114001
874,0.3 LiBr-0.3 SiS2-0.35 Li2S,3.20E-04,0.33,,,
875,0.35 LiBr-0.33 SiS2-0.33 Li2S,2.30E-04,0.38,,,
876,0.4 LiBr-0.3 SiS2-0.3 Li2S,1.10E-04,0.42,,,
877,SiS2-Li2S,1.20E-04,0.35,,,10.1016/0167-2738(86)90142-6
878,0.9(SiS2-Li2S)-0.1LiCl,1.84E-04,0.34,,,10.1016/0167-2738(86)90142-6
879,0.8(SiS2-Li2S)-0.2LiCl,2.35E-04,0.33,,,10.1016/0167-2738(86)90142-6
880,0.75(SiS2-Li2S)-0.25LiCl,2.66E-04,0.35,,,
881,0.7(SiS2-Li2S)-0.3LiCl,2.33E-04,0.35,,,10.1016/0167-2738(86)90142-6
882,0.65(SiS2-Li2S)-0.35LiCl,1.78E-04,0.36,,,
883,0.6(SiS2-Li2S)-0.4LiCl,9.30E-05,0.34,,,
884,(0.4SiS2-0.6Li2S),5.30E-04,0.33,,,10.1149/1.2108425
885,0.9(0.4SiS2-0.6Li2S)-0.1LiI,6.50E-04,0.31,,,10.1149/1.2108425
886,0.8(0.4SiS2-0.6Li2S)-0.2LiI,7.70E-04,0.3,,,10.1149/1.2108425
887,0.7(0.4SiS2-0.6Li2S)-0.3LiI,1.15E-03,0.29,,,10.1149/1.2108425
888,0.6(0.4SiS2-0.6Li2S)-0.4LiI,1.78E-03,0.28,,,10.1149/1.2108425
889,0.55(0.4SiS2-0.6Li2S)-0.45LiI,1.41E-03,0.29,,,10.1149/1.2108425
890,0.24SiS2-0.36Li2S-0.4LiI,1.80E-03,0.28,,,10.1016/0022-4596(87)90081-8
891,0.28SiS2-0.42Li2S-0.30LiI,1.80E-03,0.31,,,10.1016/s0167-2738(88)80133-4
892,0.14SiS2-0.09P2S5-0.47Li2S-0.30LiI,2.10E-03,0.34,,,10.1016/s0167-2738(88)80133-4
893,0.27SiS2-0.03Al2S3-0.30Li2S-0.40LiI,1.20E-03,0.34,,,10.1016/s0167-2738(88)80133-4
894,0.21SiS2-0.09B2S3-0.30Li2S-0.40LiI,1.70E-03,0.3,,,10.1016/s0167-2738(88)80133-4
895,0.30Li2S-0.7GeS­2,4.40E-07,0.63,,,10.1016/0022-3093(80)90430-5
896,0.40Li2S-0.60GeS2,3.20E-06,0.52,,,10.1016/0022-3093(80)90430-5
897,0.50Li2S-0.50GeS2,4.00E-05,0.51,,,10.1016/0022-3093(80)90430-5
898,0.3Li2S-0.7P2S5,1.70E-02,0.18,,,10.1039/c3ee41655k
899,0.7Li2S-0.3P2S5,3.20E-03,0.12,,,10.1002/adma.200401286; 10.1016/j.ssi.2006.04.017; 10.1149/1.2056487
900,0.6Li2S-0.4P2S5,1.50E-04,0.31,,,
901,0.95(0.6Li2S-0.4SiS2)- 0.05Li4SiO4,1.58E-03,0.34,,,
902,0.9(0.6Li2S-0.4SiS2)- 0.1Li4SiO4,4.34E-04,0.37,,,
903,0.8(0.6Li2S-0.4SiS2)- 0.2Li4SiO4,1.59E-04,0.43,,,
904,0.95(0.6Li2S-0.4SiS2)-0.05Li3PO4,8.68E-04,0.35,,,10.1016/s0167-2738(00)00555-5
905,0.7(0.6Li2S-0.4SiS2)- 0.3Li3PO4,2.08E-05,0.46,,,
906,0.6(0.6Li2S-0.4SiS2)- 0.4Li3PO4,5.33E-06,0.51,,,
907,0.95(0.6Li2S-0.4SiS2)-0.05Li4GeO4,1.19E-03,0.28,,,10.1016/s0167-2738(00)00555-5
908,0.9(0.6Li2S-0.4SiS2)- 0.1Li4GeO4,3.18E-04,0.35,,,
909,0.85(0.6Li2S-0.4SiS2)- 0.15Li4GeO4,1.14E-04,0.4,,,
910,0.95(0.6Li2S-0.4SiS2)-0.05Li3BO3,1.44E-03,0.33,,,10.1016/s0167-2738(00)00555-5
911,0.93(0.6Li2S-0.4SiS2)-0.07Li3BO3,3.84E-04,0.35,,,
912,0.85(0.6Li2S-0.4SiS2)-0.15Li3BO3,3.42E-04,0.36,,,10.1016/s0167-2738(00)00555-5
913,0.75(0.6Li2S-0.4SiS2)-0.25Li3BO3,7.06E-05,0.38,,,
914,0.95(0.6Li2S-0.4SiS2)-0.05Li3AlO3,1.31E-03,0.31,,,
915,0.94(0.6Li2S-0.4SiS2)-0.06Li3AlO3,6.83E-04,0.34,,,10.1016/s0167-2738(00)00555-5
916,0.92(0.6Li2S-0.4SiS2)-0.08Li3AlO3,4.04E-04,0.34,,,
917,0.825(0.6Li2S-0.4SiS2)- 0.175Li3AlO3,1.31E-04,0.36,,,
918,0.975(0.6Li2S-0.4SiS2)-0.025Li3GaO3,6.82E-04,0.31,,,10.1016/s0167-2738(00)00555-5
919,0.95(0.6Li2S-0.4SiS2)-0.05Li3GaO3,3.25E-04,0.32,,,10.1016/s0167-2738(00)00555-5
920,0.92(0.6Li2S-0.4SiS2)-0.08Li3GaO3,3.03E-04,0.35,,,10.1016/s0167-2738(00)00555-5
921,0.89(0.6Li2S-0.4SiS2)-0.11Li3GaO3,1.13E-04,0.38,,,
922,0.97(0.6Li2S-0.4SiS2)-0.03Li3InO3,3.09E-04,0.34,,,10.1016/s0167-2738(00)00555-5
923,0.95(0.6Li2S-0.4SiS2)-0.05Li3InO3,3.25E-04,0.35,,,
924,0.9(0.6Li2S-0.4SiS2)-0.1Li3InO3,6.84E-05,0.4,,,
925,0.95(0.6Li2S-0.4SiS2)-0.05Li4SiO4,1.54E-03,0.38,,,10.1016/0167-2738(95)00094-m
926,0.9(0.6Li2S-0.4SiS2)-0.1Li4SiO4,4.39E-04,0.4,,,10.1016/0167-2738(95)00094-m
927,0.95(0.6Li2S-0.4SiS2)-0.05Li2SO4,4.53E-04,0.41,,,
928,0.9(0.6Li2S-0.4SiS2)-0.1Li2SO4,4.70E-05,0.45,,,
929,0.5Li2O-0.1TiO2-0.4P2O5,5.67E-08,0.56,,,10.1016/s0167-2738(00)00768-2
930,0.5025Li2O-0.0025Al2O3-0.095TiO2-0.4P2O5,1.56E-08,0.55,,,
931,0.505Li2O-0.005Al2O3-0.09TiO2-0.4P2O5,1.78E-07,0.5,,,10.1016/s0167-2738(00)00768-2
932,0.5075Li2O-0.0075Al2O3-0.085TiO2-0.4P2O5,2.51E-07,0.57,,,
933,0.51Li2O-0.01Al2O3-0.08TiO2-0.4P2O5,1.58E-07,0.55,,,10.1016/s0167-2738(00)00768-2
934,0.515Li2O-0.015Al2O3-0.07TiO2-0.4P2O5,1.25E-07,0.56,,,
935,0.525Li2O-0.025Al2O3-0.05TiO2-0.4P2O5,2.17E-07,0.56,,,
936,0.53Li2O-0.03Al2O3-0.04TiO2-0.4P2O5,2.72E-07,0.54,,,
937,0.54Li2O-0.04Al2O3-0.02TiO2-0.4P2O5,1.97E-07,0.55,,,
938,0.545Li2O-0.045Al2O3-0.01TiO2-0.4P2O5,7.14E-08,0.56,,,
939,0.95(0.6Li2S-0.4SiS2)-0.05Li4SiO4,1.51E-03,0.34,,,10.1016/s0167-2738(02)00077-2
940,0.90(0.6Li2S-0.4SiS2)-0.1Li4SiO4,4.34E-04,0.37,,,10.1016/s0167-2738(02)00077-2
941,0.8(0.6Li2S-0.4SiS2)-0.2Li4SiO4,1.63E-04,0.43,,,10.1016/s0167-2738(02)00077-2
942,0.95(0.6Li2S-0.4SiS2)-0.05Li3PO4,9.32E-04,0.35,,,
943,0.9(0.6Li2S-0.4SiS2)-0.1Li3PO4,4.55E-04,0.37,,,
944,0.7(0.6Li2S-0.4SiS2)-0.3Li3PO4,2.08E-05,0.46,,,10.1016/s0167-2738(02)00077-2
945,0.6(0.6Li2S-0.4SiS2)-0.4Li3PO4,5.33E-06,0.51,,,10.1016/s0167-2738(00)00555-5; 10.1016/s0167-2738(02)00077-2
946,0.95(0.6Li2S-0.4SiS2)-0.05Li4GeO4,1.21E-03,0.28,,,
947,0.9(0.6Li2S-0.4SiS2)-0.1Li4GeO4,3.18E-04,0.34,,,10.1016/s0167-2738(00)00555-5; 10.1016/s0167-2738(02)00077-2
948,0.85(0.6Li2S-0.4SiS2)-0.15Li4GeO4,1.14E-04,0.41,,,10.1016/s0167-2738(02)00077-2
949,Li7PS6,8.00E-05,,,,
950,0.7Li2S-0.3P2S5,3.20E-03,0.12,,,10.1002/adma.200401286; 10.1016/j.ssi.2006.04.017; 10.1149/1.2056487
951,0.95(0.6Li2S-0.4SiS2)-0.05Li3BO3,1.40E-03,,,,10.1016/s0167-2738(02)00313-2
952,0.93(0.6Li2S-0.4SiS2)-0.07Li3BO3,3.71E-04,,,,
953,0.85(0.6Li2S-0.4SiS2)-0.15Li3BO3,3.39E-04,,,,
954,0.75(0.6Li2S-0.4SiS2)-0.25Li3BO3,7.15E-05,,,,10.1016/s0167-2738(02)00313-2
955,0.95(0.6Li2S-0.4SiS2)-0.05Li3AlO3,1.22E-03,,,,10.1016/s0167-2738(02)00313-2
956,0.94(0.6Li2S-0.4SiS2)-0.06Li3AlO3,6.67E-04,,,,
957,0.92(0.6Li2S-0.4SiS2)-0.08Li3AlO3,3.94E-04,,,,
958,0.825(0.6Li2S-0.4SiS2)-0.175Li3AlO3,1.25E-04,,,,
959,0.975(0.6Li2S-0.4SiS2)-0.025Li3GaO3,7.05E-04,,,,
960,0.95(0.6Li2S-0.4SiS2)-0.05Li3GaO3,3.36E-04,,,,
961,0.92(0.6Li2S-0.4SiS2)-0.08Li3GaO3,3.06E-04,,,,10.1016/s0167-2738(02)00313-2
962,0.89(0.6Li2S-0.4SiS2)-0.11Li3GaO3,1.20E-04,,,,
963,0.97(0.6Li2S-0.4SiS2)-0.03Li3InO3,3.11E-04,,,,
964,0.95(0.6Li2S-0.4SiS2)-0.05Li3InO3,2.99E-04,,,,10.1016/s0167-2738(02)00313-2
965,0.90(0.6Li2S-0.4SiS2)-0.10Li3InO3,6.81E-05,,,,10.1016/s0167-2738(02)00313-2
966,(0.67Li2S-0.33SiS2)-(0.75Li2S-0.25P2S5),1.20E-03,0.28,,,10.1149/1.1540792
967,0.2Li3N-0.8SiS2,1.46E-06,0.45,,,10.1021/cm010770p
968,0.3Li3N-0.7SiS2,2.97E-05,0.36,,,10.1021/cm010770p
969,0.4Li3N-0.6SiS2,2.74E-04,0.3,,,10.1021/cm010770p
970,0.5Li3N-0.5SiS2,4.47E-05,0.34,,,10.1021/cm010770p
971,0.6Li3N-0.4SiS2,2.25E-08,0.63,,,10.1021/cm010770p
972,0.6Li2S-0.4P2S3,5.70E-06,,,,
973,0.63Li2S-0.37P2S3,2.55E-05,,,,10.1246/cl.2004.30
974,0.667Li2S-0.333P2S3,1.10E-04,0.4,,,10.1246/cl.2004.30
975,0.7Li2S-0.3P2S3,7.90E-05,,,,10.1246/cl.2004.30
976,0.75Li2S-0.25P2S3,5.08E-05,,,,10.1246/cl.2004.30
977,0.6Li2S-0.4SiS2,5.10E-04,0.33,,,10.1021/jp983755p
978,0.555Li2S-0.4SiS2-0.045Li3N,1.50E-03,0.28,,,
979,0.525Li2S-0.4SiS2-0.075Li3N,9.60E-04,0.29,,,
980,0.1Li2O-0.1LiCl-0.65B2O3-0.1SiO2-0.05Al2O3,1.90E-04,0.427,,,
981,0.75Li2O-0.25P2S5,1.80E-05,0.48,,,
982,0.75(0.7Li2O-0.3Li2S)-0.25P2S5,2.42E-05,0.48,,,10.2497/jjspm.51.91
983,0.75(0.5Li2O-0.5Li2S)-0.25P2S5,2.83E-05,0.46,,,10.2497/jjspm.51.91
984,0.75(0.4Li2O-0.6Li2S)-0.25P2S5,4.99E-05,0.44,,,
985,0.75(0.3Li2O-0.7Li2S)-0.25P2S5,8.89E-05,0.4,,,10.2497/jjspm.51.91
986,0.75(0.2Li2O-0.8Li2S)-0.25P2S5,1.63E-04,0.38,,,
987,0.75(0.1Li2O-0.9Li2S)-0.25P2S5,2.27E-04,0.36,,,10.2497/jjspm.51.91
988,0.75Li2S-0.25P2S5,1.80E-04,0.41,,,10.2497/jjspm.51.91
989,0.45Li2-0.55SiS2,1.08E-04,0.4,,,10.1016/s0167-2738(98)00398-1
990,0.5Li2-0.5SiS2,3.36E-04,0.32,,,10.1016/s0167-2738(98)00398-1
991,0.55Li2-0.45SiS2,6.53E-04,0.3,,,10.1016/s0167-2738(98)00398-1
992,0.60Li2-0.4SiS2,1.19E-03,0.29,,,10.1016/s0167-2738(98)00398-1
993,0.63Li2-0.37SiS2,1.05E-03,0.3,,,10.1016/s0167-2738(98)00398-1
994,0.65Li2-0.35SiS2,7.41E-04,0.33,,,10.1016/s0167-2738(98)00398-1
995,0.95(0.5Li2-0.5SiS2)-0.05(0.5Li2O-0.5P2O5),4.27E-04,0.38,,,10.1016/s0167-2738(98)00398-1
996,0.95(0.53Li2-0.47SiS2)-0.05(0.53Li2O-0.47P2O5),5.91E-04,0.33,,,
997,0.95(0.55Li2-0.45SiS2)-0.05(0.55Li2O-0.45P2O5),1.01E-03,0.34,,,
998,0.95(0.58Li2-0.42SiS2)-0.05(0.58Li2O-0.42P2O5),1.06E-03,0.34,,,
999,0.95(0.6Li2-0.4SiS2)-0.05(0.6Li2O-0.4P2O5),1.01E-03,0.27,,,10.1016/s0167-2738(98)00398-1
1000,0.95(0.63Li2-0.37SiS2)-0.05(0.63Li2O-0.37P2O5),8.71E-04,0.33,,,
1001,0.95(0.65Li2-0.35SiS2)-0.05(0.65Li2O-0.35P2O5),5.34E-04,0.32,,,
1002,0.95(0.67Li2-0.33SiS2)-0.05(0.67Li2O-0.33P2O5),1.99E-04,0.37,,,
1003,0.8(0.55Li2-0.45SiS2)-0.2(0.55Li2O-0.45P2O5),7.88E-05,0.41,,,10.1016/s0167-2738(98)00398-1
1004,0.8(0.6Li2-0.4SiS2)-0.2(0.6Li2O-0.4P2O5),7.69E-05,0.41,,,
1005,0.8(0.65Li2-0.35SiS2)-0.2(0.65Li2O-0.35P2O5),5.21E-05,0.42,,,
1006,0.65Li2S-0.35P2S5,4.14E-05,,,,
1007,0.675Li2S-0.325P2S5,7.84E-05,,,,
1008,0.7Li2S-0.3P2S5,1.58E-03,0.39,,,10.1016/j.ssi.2017.03.024
1009,0.725Li2S-0.275P2S5,4.51E-04,,,,10.1016/j.ssi.2017.03.024
1010,0.75Li2S-0.25P2S5,3.67E-04,,,,10.1016/j.ssi.2017.03.024
1011,0.6Li2S-0.4SiS2,1.69E-04,,,,
1012,0.1LiI-0.9(0.6Li2S-0.4SiS2),2.35E-04,,,,
1013,0.2LiI-0.8(0.6Li2S-0.4SiS2),3.52E-04,,,,10.2497/jjspm.49.799
1014,0.3LiI-0.7(0.6Li2S-0.4SiS2),7.42E-04,,,,
1015,0.5Li2S-0.5SiS2,1.58E-06,,,,10.2497/jjspm.49.799
1016,0.1LiI-0.9(0.5Li2S-0.5SiS2),3.99E-05,,,,
1017,0.2LiI-0.8(0.6Li2S-0.4SiS2),1.23E-04,,,,10.2497/jjspm.49.799
1018,0.3LiI-0.7(0.6Li2S-0.4SiS2),3.62E-04,,,,10.2497/jjspm.49.799
1019,Li6Si2S7,4.11E-04,0.37,,,10.1016/0167-2738(96)00195-6; 10.1016/0167-2738(96)00195-6
1020,0.95Li6Si2S7-0.05Li6B4O9,4.11E-04,0.35,,,10.1016/0167-2738(96)00195-6
1021,0.9Li6Si2S7-0.1Li6B4O9,3.76E-04,0.39,,,10.1016/0167-2738(96)00195-6
1022,0.875Li6Si2S7-0.125Li6B4O9,2.77E-04,0.39,,,
1023,0.75Li6Si2S7-0.25Li6B4O9,1.42E-04,0.4,,,
1024,0.95Li6Si2S7-0.05Li6B4S9,4.90E-04,0.37,,,10.1016/0167-2738(96)00195-6
1025,0.925Li6Si2S7-0.075Li6B4S9,3.65E-04,0.38,,,
1026,0.9Li6Si2S7-0.1Li6B4S9,4.73E-04,0.38,,,10.1016/0167-2738(96)00195-6
1027,0.875Li6Si2S7-0.125Li6B4S9,4.40E-04,0.37,,,10.1016/0167-2738(96)00195-6
1028,0.75Li6Si2S7-0.25Li6B4S9,5.02E-04,0.36,,,10.1016/0167-2738(96)00195-6
1029,0.63Li6Si2S7-0.37Li6B4S9,4.39E-04,0.39,,,
1030,(Li2S)60(SiS2)28(P2S5)12,1.23E-03,0.34,,,10.1149/2.0841908jes
1031,Li7La3Zr2O12–5 wt% LiPO3,2.50E-06,0.51,,,
1032,Li7La3Zr2O12–3 wt% 65Li2O·27B2O3·8SiO2,1.50E-05,0.44,,,
1033,Li7La3Zr2O12–5 wt% 40.2Li2O·5.7Y2O3·54.1SiO2,2.50E-05,0.39,,,
1034,0.6Li2S-0.4P2S5,3.32E-06,0.52,,,10.1039/c7ta06067j
1035,0.667Li2S-0.333P2S5,3.84E-05,0.44,,,
1036,0.7Li2S-0.3P2S5,3.77E-05,0.45,,,10.1039/c7ta06067j
1037,0.75Li2S-0.25P2S5,2.79E-04,0.4,,,10.1039/c7ta06067j
1038,0.8Li2S-0.2P2S5,1.32E-04,0.44,,,10.1039/c7ta06067j
1039, (0.75Li2S-0.25P2S5),2.68E-04,0.26,,,10.1016/j.jpowsour.2012.12.001
1040,0.95(0.75Li2S-0.25P2S5)-0.05LiBH4,3.98E-04,0.25,,,10.1016/j.jpowsour.2012.12.001
1041,0.89(0.75Li2S-0.25P2S5)-0.11LiBH4,6.18E-04,0.26,,,
1042,0.67(0.75Li2S-0.25P2S5)-0.33LiBH4,1.13E-03,0.21,,,
1043,Li7P2.9S10.85Mo0.01,4.80E-03,0.24,,,10.1039/c6ta10142a
1044,Li7P3S11,2.60E-03,0.29,,,10.1039/c6ta10142a
1045,Li7P2.9Mn0.1S10.7I0.3,5.60E-03,0.22,,,10.1016/j.rser.2019.04.035; 10.1039/c7ta01147d
1046,Li11AlP2S12,8.02E-04,0.26,,,10.1039/c6cc02131j
1047,Li3PS4,1.78E-04,0.33,,,
1048,Li3PS4 – 2 wt% Al2O3,2.27E-04,0.35,,,
1049,Li3PS4 – 5 wt% Al2O3,1.96E-04,0.35,,,10.1016/j.ssi.2015.10.014
1050,Li3PS4 – 8 wt% Al2O3,1.60E-04,0.36,,,10.1016/j.ssi.2015.10.014
1051,Li3PS4 – 10 wt% Al2O3,1.50E-04,0.36,,,10.1016/j.ssi.2015.10.014
1052,Li3PS4 – 30 wt% Al2O3,9.96E-05,0.36,,,
